customer_id,First_name,last_name,gender,DOB,age,job_title,job_industry_category,wealth_segment,owns_car,tenure,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,profit,product_first_sold_date,address,state,country,property_valuation
1,Laraine,Maleedendorp,Female,1953-10-12,69,"Executive Secretary",Health,"Mass customer",Yes,11,94,86,1,2017-12-23,FALSE,Approved,"OHM Cycles",Standard,medium,medium,235.63,125.07,110.56,2005-05-10,"060 Morning Avenue",NSW,Australia,10
2,Eli,BockMalean,Male,1980-12-16,42,"Administrative Officer","Financial Services","Mass customer",Yes,16,2261,1,2,2017-05-04,TRUE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,954.82,448.68,2011-08-29,"6 Meadow Vale Court",NSW,Australia,10
4,Talbot,,Male,1961-10-03,61,,IT,"Mass Customer",No,7,12441,95,4,2017-04-03,FALSE,Approved,"Giant Bicycles",Standard,medium,large,569.56,528.43,41.13,2003-09-10,"0 Holy Cross Court",QLD,Australia,9
5,Sheila-kathryn,Calton,Female,1977-05-13,46,"Senior Editor",n/a,"Affluent Customer",Yes,8,2250,34,5,2017-08-16,FALSE,Approved,"Norco Bicycles",Road,high,large,774.53,464.72,309.81,2008-03-19,"17979 Del Mar Point",NSW,Australia,4
6,Curr,Duckhouse,Male,1966-09-16,56,,Retail,"High Net Worth",Yes,13,902,0,6,2017-05-21,FALSE,Approved,"Trek Bicycles",Standard,high,medium,358.39,215.03,143.36,1991-05-06,"9 Oakridge Court",VIC,Australia,9
7,Fina,Merali,Female,1976-02-23,47,,"Financial Services","Affluent Customer",Yes,11,3954,5,7,2017-04-21,FALSE,Approved,"Trek Bicycles",Mountain,low,medium,574.64,459.71,114.93,2004-09-28,"4 Delaware Trail",NSW,Australia,9
8,Rod,Inder,Male,1962-03-30,61,"Media Manager",n/a,"Mass customer",No,7,3688,15,8,2017-09-22,TRUE,Approved,"Norco Bicycles",Standard,low,medium,958.74,748.9,209.84,2013-03-12,"49 Londonderry Lane",NSW,Australia,4
9,Maleala,Lind,Female,1973-03-10,50,"Business System Development Analyst",Argiculture,"Affluent Customer",Yes,8,2501,59,9,2017-05-10,FALSE,Approved,Solex,Standard,medium,large,1061.56,733.58,327.98,2015-06-17,"97736 7th Trail",NSW,Australia,12
11,Uriah,Bisatt,Male,1954-04-30,69,,Property,"Mass Customer",No,9,6004,28,11,2017-04-02,FALSE,Approved,"Norco Bicycles",Standard,medium,small,1216.14,1082.36,133.78,1991-08-05,"93405 Ludington Park",VIC,Australia,8
12,Sawyere,FemalelattMalean,Male,1994-07-21,28,"Nuclear Power Engineer",Manufacturing,"Mass customer",No,8,5985,39,12,2017-08-21,FALSE,Approved,"Giant Bicycles",Standard,medium,large,1812.75,582.48,1230.27,2010-06-07,"44339 Golden Leaf Alley",QLD,Australia,4
13,Gabriele,Norcross,Male,1955-02-15,68,"Developer I","Financial Services","High Net Worth",Yes,8,8905,66,13,2017-02-16,FALSE,Approved,Solex,Standard,medium,medium,1163.89,589.27,574.62,1996-11-09,"2 Sutherland Street",VIC,Australia,6
14,Rayshell,KitteMalean,Female,1983-03-25,40,"Account Executive","Financial Services","Affluent Customer",No,6,6044,56,14,2017-11-13,TRUE,Approved,"OHM Cycles",Standard,medium,medium,183.86,137.9,45.96,1997-10-04,"9 Mcbride Trail",NSW,Australia,8
15,Erroll,Radage,Male,2000-07-13,22,"Junior Executive",Manufacturing,"Mass customer",No,1,434,67,15,2017-03-10,FALSE,Approved,"Norco Bicycles",Road,medium,medium,544.05,376.84,167.21,2005-10-22,"9861 New Castle Avenue",NSW,Australia,9
